description,categorie,type_service,urgence,origine_probleme,specialite_requise,pieces_necessaires,solution,prevention,duree
Problème signalé : l'imprimante bourre constamment le papier,hardware,maintenance,haute,Court-circuit dans l'alimentation,Hardware,"[""Spray air comprimé"", ""Spray nettoyant""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Signalement client : récupération de données après formatage Le client a besoin d'aide.,software,installation,critique,Infection par malware ou virus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,2.0
Problème signalé : le chargeur du laptop est cassé,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Carte mère""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.0
Le client se plaint que configuration d'un serveur DHCP Problème urgent.,reseau,configuration,normale,Interférence WiFi avec autres équipements,Réseau,"[""Câble RJ45 5m""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,1.5
Le profil utilisateur est corrompu Merci d'intervenir rapidement.,software,installation,normale,Licence expirée ou fichiers corrompus,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,1.5
Client signale : le wifi est très lent et instable,reseau,depannage,normale,Mauvaise configuration des paramètres réseau,Réseau,"[""Câble RJ45 5m""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Vérifier régulièrement les câbles et connexions réseau.,1.0
Client signale : l'imprimante imprime des pages vides Merci d'intervenir rapidement.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Intervention requise : une mise à jour a cassé une application Problème urgent.,software,reparation,normale,Mise à jour défectueuse du système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Le connecteur de charge est endommagé depuis hier.,hardware,reparation,haute,Connexion interne défaillante,Hardware,"[""Batterie laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,3.0
Client signale : configuration qos pour prioriser les appels depuis ce matin.,reseau,configuration,faible,Câblage endommagé ou mal branché,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Vérifier régulièrement les câbles et connexions réseau.,1.0
Intervention requise : outlook ne se synchronise plus avec le mail Merci d'intervenir rapidement.,software,reparation,faible,Corruption du système d'exploitation,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Éviter les logiciels piratés qui peuvent contenir des malwares.,1.0
Signalement client : problème de routage entre deux sites Merci d'intervenir rapidement.,reseau,installation,normale,Câblage endommagé ou mal branché,Réseau,"[""Switch 16 ports"", ""Câble RJ45 20m""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Mettre à jour le firmware des équipements réseau.,2.0
Le client se plaint que le serveur de messagerie est inaccessible,reseau,depannage,normale,Incompatibilité de protocoles réseau,Réseau,"[""Switch 8 ports""]","Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Mettre à jour le firmware des équipements réseau.,1.0
Signalement client : l'ordinateur s'éteint tout seul,hardware,reparation,normale,Surchauffe causée par poussière accumulée,Hardware,"[""Disque dur HDD 1TB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Utiliser un onduleur pour protéger contre les coupures et surtensions.,2.0
Réinstallation complète de Windows Le client a besoin d'aide.,software,installation,faible,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Créer des points de restauration avant toute modification système.,2.0
Client signale : erreur critique au démarrage du système Cela se produit souvent.,software,reparation,haute,Mise à jour défectueuse du système,Software,[],"Scanner et réparer le système avec un antivirus à jour et les outils de réparation Windows (sfc /scannow, DISM)",Créer des points de restauration avant toute modification système.,2.0
Microsoft Office ne s'ouvre plus Cela se produit souvent.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Installer un antivirus fiable et le maintenir à jour.,2.0
Le client indique que le chargeur du laptop est cassé Cela bloque le travail.,hardware,reparation,faible,Connexion interne défaillante,Hardware,"[""Écran LCD 15.6\""""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,1.5
Intervention requise : l'ordinateur est infecté par un virus Cela se produit souvent.,software,installation,critique,Corruption du système d'exploitation,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
Demande d'intervention : installation d'un nouveau système d'exploitation depuis ce matin.,software,installation,normale,Erreur de configuration système,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Effectuer des sauvegardes régulières sur disque externe ou cloud.,2.0
Suite à un appel client : l'imprimante imprime des pages vides Cela bloque le travail.,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Clavier laptop""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Éviter les chocs physiques et les environnements humides.,2.0
Le client indique que sécurisation contre les intrusions réseau Merci d'intervenir rapidement.,reseau,configuration,faible,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Mettre à jour le firmware des équipements réseau.,1.0
Le client indique que mise en place d'un réseau pour nouveaux bureaux Le client est inquiet.,reseau,installation,normale,Incompatibilité de protocoles réseau,Réseau,"[""Câble RJ45 10m"", ""Connecteurs RJ45""]","Installer le câblage RJ45, le switch et configurer le réseau local complet des bureaux",Documenter la configuration réseau pour faciliter les interventions futures.,4.0
Le client se plaint que windows demande une activation non valide Merci d'intervenir rapidement.,software,installation,normale,Conflit entre logiciels installés,Software,[],Installer et configurer le logiciel demandé avec les paramètres adaptés aux besoins du client,Éviter les logiciels piratés qui peuvent contenir des malwares.,1.5
La souris ne répond plus Cela bloque le travail.,hardware,reparation,haute,Composant électronique endommagé,Hardware,"[""RAM DDR4 8GB""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Demande d'intervention : le clavier ne fonctionne plus depuis ce matin.,hardware,reparation,critique,Court-circuit dans l'alimentation,Hardware,[],"Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Remplacer la pâte thermique tous les 2 ans.,2.5
Suite à un appel client : le logiciel de facturation perd ses données Le client est inquiet.,software,configuration,normale,Infection par malware ou virus,Software,[],Configurer les paramètres système et les droits d'accès selon les besoins de l'entreprise,Mettre à jour régulièrement le système et les logiciels pour la sécurité.,0.5
Mise à jour du firmware du routeur Merci d'intervenir rapidement.,reseau,depannage,normale,Problème de sécurité réseau,Réseau,[],"Redémarrer les équipements réseau, vérifier les câbles et renouveler la configuration IP pour rétablir la connexion",Sécuriser le réseau WiFi avec un mot de passe fort WPA3.,1.0
Suite à un appel client : l'ordinateur s'éteint tout seul Problème urgent.,hardware,reparation,faible,Connexion interne défaillante,Hardware,"[""Ventilateur CPU"", ""Pâte thermique""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Nettoyer régulièrement l'intérieur du PC tous les 6 mois pour éviter la surchauffe.,1.5
Le disque dur externe n'est plus reconnu,hardware,reparation,normale,Composant électronique endommagé,Hardware,"[""Alimentation 500W""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,1.5
Client signale : la batterie gonfle et déforme le boîtier Cela bloque le travail.,hardware,reparation,faible,Dommage physique suite à choc,Hardware,"[""Disque SSD 256GB"", ""Câble SATA""]","Diagnostiquer et remplacer le composant matériel défaillant (disque dur, RAM, alimentation ou carte mère)",Vérifier régulièrement l'état de la batterie et des ventilateurs.,2.0
Intervention requise : remplacement d'un switch défaillant,reseau,configuration,faible,Problème de sécurité réseau,Réseau,"[""Switch 8 ports""]","Configurer le routeur, switch et DHCP pour mettre en place ou sécuriser le réseau local de l'entreprise",Documenter la configuration réseau pour faciliter les interventions futures.,2.0
Le client se plaint que le port USB ne détecte plus les périphériques Le client est inquiet.,hardware,maintenance,faible,Surchauffe causée par poussière accumulée,Hardware,"[""Pâte thermique"", ""Spray air comprimé""]",Nettoyer la poussière avec air comprimé et remplacer la pâte thermique du processeur,Éviter les chocs physiques et les environnements humides.,1.0
